text,favourite_count,retweet_count,created_at,polarity,Expression
RT @PhilippineStar: Vice President Leni Robredo said it has become “frustrating” to hear President Duterte constantly attacking critics and…,0,35,2021-09-06 23:58:44,-0.2,Negative
RT @JudicialWatch: Judicial Watch announced that it and the Daily Caller received from the HHS 311 pages of records of heavily redacted com…,0,320,2021-09-06 23:58:43,-0.1,Negative
"RT @DrCameronMurray: Britain advises against vaccinating healthy children against COVID-19

Makes sense given the evidence I am aware of.…",0,8,2021-09-06 23:58:43,0.375,Positive
RT @kprather88: Most docs wear N95s when seeing potential COVID patients and remove them after they leave room. The virus hovers in rooms f…,0,2900,2021-09-06 23:58:42,0.25,Positive
"RT @kylegriffin1: Texas schools have amassed more than 50,000 confirmed COVID cases in students in just a couple of weeks. More than a doze…",0,3837,2021-09-06 23:58:41,0.4666666666666666,Positive
Daily Covid Deaths per 1K Population by County For MA   2021-09-03:  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts #covidvislualizations #coviddata #smcanalytics #covid19 #coronavirus #covid_19 https://t.co/oXtjhHTut0,0,0,2021-09-06 23:58:41,0.1,Positive
RT @Matt_Tinney: The AFL Grand Final parade in Perth has been cancelled due to a threat and it's not COVID-19. @sunriseon7 https://t.co/ixg…,0,5,2021-09-06 23:58:40,0.03125,Positive
RT @mygovindia: India’s COVID-19 vaccination drive broke a new record by becoming the fastest country to administer 10 million doses in a s…,0,868,2021-09-06 23:58:40,0.2931818181818182,Positive
RT @AmyA1A: The AP reported that 70% of recent calls to the Mississippi Poison Control Center were from people who had ingested ivermectin…,0,3176,2021-09-06 23:58:39,-0.05,Negative
"RT @zerohedge: Aussie Health Chief: COVID Will Be With Us ""Forever"", People Will Have To ""Get Used To"" Endless Booster Vaccines https://t.c…",0,580,2021-09-06 23:58:39,-0.125,Negative
"RT @TheRealHoarse: “Christina Lowe, 32, and her husband Mikel were strongly opposed to the COVID-19 vaccine and masks.”

Mikel isn’t oppose…",0,457,2021-09-06 23:58:37,0.4333333333333333,Positive
RT @yaritzi222: I am raising money for my father’s funeral expenses who unfortunately passed away this morning due to covid-19. Please anyt…,0,425,2021-09-06 23:58:36,-0.3125,Negative
"RT @smh: Victoria has recorded 246 new local COVID-19 cases for the second day in a row, as general practitioners warn nobody should be wai…",0,11,2021-09-06 23:58:35,0.04659090909090909,Positive
"RT @TheMarieOakes: In New South Wales, Australia truckers are on strike protesting the COVID-19 restrictions in the country. 
 https://t.co…",0,2004,2021-09-06 23:58:33,0.13636363636363635,Positive
"According to a white paper by GlobalData, more than 50% of enterprises expect home-working to be much more common for the long term after COVID-19. #success #attemployee https://t.co/pCpt3H4kCo",0,0,2021-09-06 23:58:33,0.15833333333333333,Positive
"RT @TB_Times: “These nurses have been working 12-hour days for 18 months straight now,” says Morton Plant Hospital president Lou Galdieri,…",0,44,2021-09-06 23:58:32,0.2,Positive
"@suss_mark COVID-19 is a serious disease, even after vaccination. It has long term, multi system and likely irreversible effects. 

Health systems cannot withstand it long term; chronic disease burden is too high. 

It needs more to control it. Engineering, NPI’s, border control.",19,4,2021-09-06 23:58:31,0.03777777777777778,Positive
RT @Potatopolitics: America seems proud to be the country with most covid 19 deaths because 10 rich people doubled their bank accounts whil…,0,4282,2021-09-06 23:58:30,0.5583333333333333,Positive
"RT @andrewdkaufman: For better or for worse, the educational landscape is changing in response to COVID-19. Let's discuss the impact on stu…",0,8,2021-09-06 23:58:28,0.11666666666666665,Positive
RT @JamaicaGleaner: The management of Isratech Jamaica Limited is standing by its decision to require workers to become vaccinated against…,0,75,2021-09-06 23:58:28,-0.07142857142857142,Negative
RT @Potatopolitics: America seems proud to be the country with most covid 19 deaths because 10 rich people doubled their bank accounts whil…,0,4282,2021-09-06 23:58:27,0.5583333333333333,Positive
New Zealand 'very close' to deal for more Covid-19 vaccines | Malay Mail https://t.co/wbskYDOUaW,3,0,2021-09-06 23:58:25,0.2787878787878788,Positive
"RT @VicGovDH: Reported yesterday: 246 new local cases and 0 new cases acquired overseas. 
- 32,300 vaccine doses were administered 
- 43,85…",0,326,2021-09-06 23:58:24,0.0909090909090909,Positive
RT @Matt_Tinney: The AFL Grand Final parade in Perth has been cancelled due to a threat and it's not COVID-19. @sunriseon7 https://t.co/ixg…,0,5,2021-09-06 23:58:24,0.03125,Positive
"@douglaskarr @conreeder @thissmallplanet @maddow @TwitterSupport From the ""Selected Clinical Data"" tab:

""Interpretation:
 A 5-day course of IVM did not improve time to resolution of symptoms in patients with mild COVID-19.""",1,0,2021-09-06 23:58:20,0.3333333333333333,Positive
RT @JCBua: This is Literally the Most Breathtaking Article I’ve Ever Read About The Ravages Of COVID. Please Read &amp; Share! 😷💉 #GetVaxxed  h…,0,795,2021-09-06 23:58:18,0.75,Positive
RT @Potatopolitics: America seems proud to be the country with most covid 19 deaths because 10 rich people doubled their bank accounts whil…,0,4282,2021-09-06 23:58:16,0.5583333333333333,Positive
RT @ms_thurmond: Daily COVID-19 infections up more than 300 percent from Labor Day last year #SmartNews  https://t.co/SmRch2aUyf,0,2,2021-09-06 23:58:16,0.16666666666666666,Positive
"RT @AnythingGOE: 🇮🇹 Lucrezia Beccari withdrew from Lombardia Trophy due to a positive COVID-19 test.
https://t.co/ZhkL1Whqfe",0,20,2021-09-06 23:58:15,0.05113636363636363,Positive
Nurse uses empty COVID-19 vaccine vials to create chandelier with message of hope https://t.co/RxfEBhGvl4,0,0,2021-09-06 23:58:15,-0.1,Negative
"These last 10 days have taken years off my life. I'm exhausted, tired of living in low tone anxiety Covid-19 hell that makes everything else more difficult, and wish my family and friends lived closer. https://t.co/K9pNDurgXd",22,0,2021-09-06 23:58:14,-0.13333333333333333,Negative
"RT @oskarhowell: So David Seymour didn't say a word when we let our elderly get first access to the vaccine based on their heightened risk,…",0,164,2021-09-06 23:58:14,0.25,Positive
RT @drsanjaygupta: Another reason to get vaccinated: being fully vaccinated reduces odds of long-term Covid-19 symptoms by half https://t.c…,0,536,2021-09-06 23:58:13,-0.16666666666666666,Negative
Robert Peston laments positive COVID-19 result despite receiving double dose of vaccine | United Kingdom | News https://t.co/4xX1P6ZzKo,0,0,2021-09-06 23:58:12,0.11363636363636363,Positive
"RT @aliasvaughn: ""Several inmates at a northwest Arkansas jail said they weren't told a medication they were given to treat COVID-19 was ac…",0,7,2021-09-06 23:58:12,-0.05,Negative
"RT @Stu_Murray1: Georgia football experiencing a Covid outbreak &amp; every single player and coach afflicted has been vaccinated.

#MoreVaccin…",0,1,2021-09-06 23:58:12,-0.07142857142857142,Negative
Robert Peston laments positive COVID-19 result despite receiving double dose of vaccine | United Kingdom | News https://t.co/plZKPeie0k,0,0,2021-09-06 23:58:11,0.11363636363636363,Positive
"RT @KellyReinkeTV: Left: Fitness coach Bill Phillips pre-covid

Right: Bill, 70 pounds lighter, barely surviving COVID-19 after deciding no…",0,5435,2021-09-06 23:58:10,0.1119047619047619,Positive
"RT @ttwentyman: Dan Campbell says the Lions ""came out fine"" with their COVID-19 tests today",0,13,2021-09-06 23:58:10,0.4166666666666667,Positive
"RT @jaimecamil: Catch @LACareHealth’s IG Live TOMORROW @ noon PT 🙌🏽🎉 I’ll be asking @dr_shaps everything about Covid 19 vaccines, truths, m…",0,25,2021-09-06 23:58:09,0.13636363636363635,Positive
@TomiLahren Tomi &amp; fpx news and right wing are lying and fear mongering about migrants entering with covid. It’s already Been debunked by CBP &amp; DHS https://t.co/Ws2qnJQA6o,0,0,2021-09-06 23:58:09,0.2857142857142857,Positive
RT @kimboc5: This is one evil MAN! Good Lord these satanic Illuminati demons took over the world while we were all looking at our phones!…,0,1,2021-09-06 23:58:08,-0.15000000000000002,Negative
"- Oman announces 120 new COVID-19 cases, 5 deaths https://t.co/dBHsDglbTt",0,0,2021-09-06 23:58:07,0.13636363636363635,Positive
These two health problems linked to worse COVID-19 outcomes https://t.co/7xg5kS20x1 #SmartNews,0,0,2021-09-06 23:58:06,-0.4,Negative
Doctors Say Texas Leaders Failed To Stop COVID-19 From Spreading – Houston Public Media https://t.co/lPp1oxHBtt,1,0,2021-09-06 23:58:06,-0.25,Negative
RT @LauraMiers: “A critical message is being largely missed in recent media headlines as the Delta variant surges: You absolutely can get C…,0,40,2021-09-06 23:58:06,0.10357142857142856,Positive
"THINGS ARE HORRIBLE IN JAPAN❗️

No doubt, the pandemic is bad for lots of businesses. But in Japan, it’s especially awful for #arcades 😢

https://t.co/prZ1D3L2DN

#arcade #arcadegames #japan #Covid_19 #retrogaming #90s #sega #arcadecabinet #arcadegamelovers #arcadegame https://t.co/6AvYU6F9NF",18,9,2021-09-06 23:58:05,-0.8999999999999999,Negative
RT @7NewsMelbourne: Victoria has recorded another day of more than 200 COVID-19 cases with more than 100 mystery infections among them. #CO…,0,8,2021-09-06 23:58:05,0.5,Positive
"RT @kylegriffin1: Texas schools have amassed more than 50,000 confirmed COVID cases in students in just a couple of weeks. More than a doze…",0,3837,2021-09-06 23:58:05,0.4666666666666666,Positive
RT @NursingNotesUK: It is with great sadness we announce that nurse Veronica Guy has sadly died from COVID-19. Colleagues said that Veronic…,0,1112,2021-09-06 23:58:04,0.15000000000000002,Positive
"RT @thastepfordwife: This weekend marks a full year since I had Covid 19.
I still cannot climb stairs or walk far or fast without becoming…",0,33,2021-09-06 23:58:04,0.21666666666666665,Positive
RT @armyspoke_news: 💉The Vaccination Service Center of Phramongkutklao College of Medicine and the Royal Thai Army Nursing College provide…,0,993,2021-09-06 23:58:04,-0.1,Negative
RT @JCBua: This is Literally the Most Breathtaking Article I’ve Ever Read About The Ravages Of COVID. Please Read &amp; Share! 😷💉 #GetVaxxed  h…,0,795,2021-09-06 23:58:03,0.75,Positive
RT @WSJPolitics: Polls show Biden’s standing has eroded as he has grappled with issues that are difficult to control: the Afghanistan withd…,0,4,2021-09-06 23:58:02,-0.5,Negative
@MikeMc_96 @shartnado42069 @ggreenwald @robbysoave Deadly parasite Covid 19 https://t.co/CTjmEajOSd,1,0,2021-09-06 23:58:01,-0.2,Negative
"Psst a new edition of @phrpjournal is out tomorrow! Don't miss papers on how we can learn to live with COVID-19, #suicideprevention during the pandemic, and why women avoid cervical screening. Sign up to get your copy at: https://t.co/QlELLJqoDo",0,0,2021-09-06 23:58:00,0.15340909090909088,Positive
RT @JamaicaGleaner: The management of Isratech Jamaica Limited is standing by its decision to require workers to become vaccinated against…,0,75,2021-09-06 23:57:58,-0.07142857142857142,Negative
RT @PhilstarNews: Vice President Leni Robredo said that President Rodrigo Duterte was more focused on politics than managing the government…,0,50,2021-09-06 23:57:57,0.5,Positive
RT @LauraMiers: “At least one case of the Mu variant has been detected in the District of Columbia and every state in the U.S. aside from N…,0,3,2021-09-06 23:57:56,-0.3,Negative
"RT @GrumpyYetAmusin: We don't commemorate how many survived the world wars, we remember those who died. 

We ought to offer the same respec…",0,4,2021-09-06 23:57:56,0.25,Positive
RT @drsanjaygupta: Another reason to get vaccinated: being fully vaccinated reduces odds of long-term Covid-19 symptoms by half https://t.c…,0,536,2021-09-06 23:57:53,-0.16666666666666666,Negative
"@AndrewNutter5 @livelovenofear @devisridhar Oh wow. I just saw how wrong your little video clip was. 

https://t.co/y5cDu5tdi0",0,0,2021-09-06 23:57:53,-0.19583333333333333,Negative
@GrogsGamut @rohan_connolly Yet Morrison travelled to trace his history in UK few months ago while Greg Hunt has been extending state of Emergency on Australians and restricting travel since March 2020. https://t.co/5Y5Pu5KKZs https://t.co/5WhZnA2Vgt,2,0,2021-09-06 23:57:51,-0.2,Negative
RT @HuffmanLabDU: 5/ The visual of 200 smokers sitting in a room (⬆️) is likely a more accurate picture; but here is another analogy of the…,0,3,2021-09-06 23:57:51,0.22500000000000003,Positive
"RT @JamesMelville: First it was Denmark 🇩🇰 and now Ireland 🇮🇪 

Ireland plans to drop almost all Covid restrictions and ditch vaccine passp…",0,1193,2021-09-06 23:57:51,0.25,Positive
"RT @gritslady: At least 45 districts shut down in-person classes due to COVID-19 cases, affecting more than 40,000 students in Texas https:…",0,2,2021-09-06 23:57:49,-0.0201388888888889,Negative
"RT @QuackingTiger: Oh yeah, the breakout/spike happened after the game...right, right...

https://t.co/ZzwvsSDGkR",0,9,2021-09-06 23:57:49,0.2857142857142857,Positive
RT @NursingNotesUK: It is with great sadness we announce that nurse Veronica Guy has sadly died from COVID-19. Colleagues said that Veronic…,0,1112,2021-09-06 23:57:49,0.15000000000000002,Positive
"Hi. Are you cool, edgy, blindly antivax.. coz 'eff The Man &amp; The Estab'? Do you think you're woke AF?
Ever wonder what happens to those with severe COVID-19 infections in the hospital? Read through the 7 stages of severe COVID-19 infection.
Adapted from: https://t.co/ljdoiHB3ny https://t.co/L90m9ilTu1",1,0,2021-09-06 23:57:48,-0.15,Negative
"RT @ABSCBNNews: ""Why is the money not being spent on our needs?""

Vice President Leni Robredo said she would allot budget to #COVID19 respo…",0,95,2021-09-06 23:57:48,-0.1,Negative
"@GovRonDeSantis @FLCaseyDeSantis Among the highest COVID-19 infections in the country - in fact top 10 per 100,000 people in the world! And still no reporting of deaths per county since June 2021 - Ron said it would be “appropriate” to report by county and yet…",0,0,2021-09-06 23:57:47,0.5625,Positive
@1stupidmunkey @TimRunsHisMouth It’s true https://t.co/6sPBlYE3nY,1,0,2021-09-06 23:57:46,0.35,Positive
"RT @zerohedge: Aussie Health Chief: COVID Will Be With Us ""Forever"", People Will Have To ""Get Used To"" Endless Booster Vaccines https://t.c…",0,580,2021-09-06 23:57:46,-0.125,Negative
"Pfizer, Merck launch trials for new oral COVID-19 drugs you’ll have to take ALONGSIDE vaccines https://t.co/OYPxMPPVEM",0,0,2021-09-06 23:57:43,0.13636363636363635,Positive
RT @helen_0902: Good morning LORD JESUS. Thank You LORD for waking me up and giving me another day to live to enjoy Your blessings. Happy T…,0,107,2021-09-06 23:57:43,0.509090909090909,Positive
RT @JCBua: This is Literally the Most Breathtaking Article I’ve Ever Read About The Ravages Of COVID. Please Read &amp; Share! 😷💉 #GetVaxxed  h…,0,795,2021-09-06 23:57:42,0.75,Positive
"@madimcdonald6 @RealMarkLatham She and her husband thought Covid-19 was a 'political game,' now he's dead https://t.co/w57hCtxndT",0,0,2021-09-06 23:57:39,-0.20000000000000004,Negative
"I just wanna know who was the first person to say “you know what, let’s use horse medicine to stop COVID-19, it’s definitely gonna work”",0,0,2021-09-06 23:57:37,0.125,Positive
"(1) The newly released data show people who once had a SARS-CoV-2 infection were much less likely than vaccinated people to get Delta, develop symptoms from it, or become hospitalized with serious COVID-19.",0,0,2021-09-06 23:57:37,-0.09090909090909091,Negative
RT @TonyGrossi: Browns survived the players' free weekend with nobody testing positive for COVID-19. That hasn't been the case elsewhere in…,0,63,2021-09-06 23:57:37,0.31363636363636366,Positive
"@australian Mr. #Kazuhiro Nagao, MD, the director of the #Nagao Clinic, said that patients with #COVID19 recovered quickly after taking #ivermectin in the early stage. He treated 500 COVID-19 patients and none of them died.
https://t.co/gohJBi6EjB",0,0,2021-09-06 23:57:37,0.14444444444444446,Positive
"RT @kylegriffin1: Texas schools have amassed more than 50,000 confirmed COVID cases in students in just a couple of weeks. More than a doze…",0,3837,2021-09-06 23:57:36,0.4666666666666666,Positive
"RT @RobinCogan: Another important @CNN article about school nurses!
This one features @pray_liz @SNOWashington Pres #LindaMendoca @schoolnu…",0,4,2021-09-06 23:57:33,0.5,Positive
COVID-19 information inconsistencies affect pregnant women https://t.co/tLLIn0eKHH https://t.co/1QPJwqwzJB,0,0,2021-09-06 23:57:32,0.11666666666666665,Positive
